DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2021-01-13	C	LSU	SEC	Arkansas	H	W, 92-76	W	92-76	92	76	92	76
2021-02-09	C	West Virginia	B12	Texas Tech	A	W, 82-71	W	82-71	82	71	82	71
2021-03-02	C	Purdue	B10	Wisconsin	H	W, 73-69	W	73-69	73	69	73	69
2021-03-03	C	Penn St.	B10	Minnesota	H	W, 84-65	W	84-65	84	65	84	65
2021-03-12	CT	LSU	SEC	Mississippi	N	W, 76-73	W	76-73	76	73	76	73
2021-02-25	C	UCLA	P12	Utah	A	W, 76-61	W	76-61	76	61	76	61
2020-12-17	C	Creighton	BE	St. John's	A	W, 94-76	W	94-76	94	76	94	76
2021-01-12	C	Marquette	BE	Providence	H	W, 79-69	W	79-69	79	69	79	69
2021-01-02	C	Michigan St.	B10	Nebraska	A	W, 84-77	W	84-77	84	77	84	77
2021-03-11	CT	Wisconsin	B10	Penn St.	N	W, 75-74	W	75-74	75	74	75	74
2021-03-06	C	Utah	P12	Arizona St.	H	W, 98-59	W	98-59	98	59	98	59
2021-02-04	C	Iowa	B10	Ohio St.	H	L, 89-85	L	89-85	89	85	85	89
2021-03-06	C	Clemson	ACC	Pittsburgh	H	W, 77-62	W	77-62	77	62	77	62
2021-01-23	C	Baylor	B12	Oklahoma St.	A	W, 81-66	W	81-66	81	66	81	66
2021-02-26	C	St. Bonaventure	A10	George Washington	H	W, 88-41	W	88-41	88	41	88	41
2021-03-19	T	Houston	Amer	Cleveland St.	N	W, 87-56	W	87-56	87	56	87	56
2020-12-19	N	UCLA	P12	Ohio St.	N	L, 77-70	L	77-70	77	70	70	77
2021-02-20	C	West Virginia	B12	Texas	A	W, 84-82	W	84-82	84	82	84	82
2021-01-05	C	Texas Tech	B12	Kansas St.	H	W, 82-71	W	82-71	82	71	82	71
2020-11-25	N	Michigan	B10	Bowling Green	H	W, 96-82	W	96-82	96	82	96	82
2021-01-27	C	Duquesne	A10	Fordham	A	W, 86-62	W	86-62	86	62	86	62
2021-02-27	C	Connecticut	BE	Marquette	H	W, 80-62	W	80-62	80	62	80	62
2021-01-26	C	SMU	Amer	Memphis	A	L, 76-72	L	76-72	76	72	72	76
2021-01-30	C	Vanderbilt	SEC	South Carolina	H	W, 93-81	W	93-81	93	81	93	81
2021-02-03	C	Georgetown	BE	Creighton	A	W, 86-79	W	86-79	86	79	86	79
2021-02-10	C	Houston	Amer	South Florida	A	W, 82-65	W	82-65	82	65	82	65
2021-01-03	C	Michigan	B10	Northwestern	H	W, 85-66	W	85-66	85	66	85	66
2020-12-30	C	Auburn	SEC	Arkansas	H	L, 97-85	L	97-85	97	85	85	97
2020-12-16	C	Villanova	BE	Butler	H	W, 85-66	W	85-66	85	66	85	66
2021-01-16	C	Texas	B12	Kansas St.	H	W, 82-67	W	82-67	82	67	82	67
2021-03-06	C	Auburn	SEC	Mississippi St.	H	W, 78-71	W	78-71	78	71	78	71
2021-02-27	C	Vanderbilt	SEC	Mississippi	H	W, 75-70	W	75-70	75	70	75	70
2021-03-14	CT	Illinois	B10	Ohio St.	N	W, 91-88	W	91-88	91	88	91	88
2021-01-27	C	Arkansas	SEC	Mississippi	H	W, 74-59	W	74-59	74	59	74	59
2021-02-09	C	Duke	ACC	Notre Dame	H	L, 93-89	L	93-89	93	89	89	93
2021-01-30	C	Notre Dame	ACC	Pittsburgh	A	W, 84-58	W	84-58	84	58	84	58
2021-01-12	C	Alabama	SEC	Kentucky	A	W, 85-65	W	85-65	85	65	85	65
2021-03-18	P	North Carolina St.	ACC	Davidson	N	W, 75-61	W	75-61	75	61	75	61
2021-01-16	C	Florida St.	ACC	North Carolina	H	W, 82-75	W	82-75	82	75	82	75
2021-01-16	C	USC	P12	Washington St.	H	W, 85-77	W	85-77	85	77	85	77
2020-12-15	N	Wisconsin	B10	Loyola Chicago	H	W, 77-63	W	77-63	77	63	77	63
2021-01-30	C	Purdue	B10	Minnesota	H	W, 81-62	W	81-62	81	62	81	62
2021-03-13	CT	Ohio St.	B10	Michigan	N	W, 68-67	W	68-67	68	67	68	67
2020-11-29	N	Baylor	B12	Washington	N	W, 86-52	W	86-52	86	52	86	52
2020-12-09	N	Arizona	P12	Cal St. Bakersfield	H	W, 85-60	W	85-60	85	60	85	60
